Date,Rank,Keyword,Ngram,Score,Raw_SumScore,Platforms,EntropyPenalty,Entropy,Mentions,Platform_List,Examples
20260130,1,서울,1,24.934795,35.852089,7,0.695491,0.358246,151,"dc_comic,dc_lol,fmkorea,nate,theqoo,x_trends,youtube","[dc_comic](comment) 이거산다고 서울에서 전주까지 내려간 기억이 01.30 09:23:42 || [dc_lol](comment) 걍 서울에 자가 아파트 있으면됨 01.30 03:29:49 || [fmkorea](comment) 우리도 23년 5월에 오전 6시쯤 서울에 경계경보 발령 있었음 사이렌 주변 사람들 핸드폰 울리고 확성기로 실제 상황이라고 하고 패닉 왔었음 80 4 || [fmkorea](comment) 수수 ㄹㅇ 기억난더 그땨 백수시절이라 밤새고 뜨는 해를 인방보면서 맞이하고 있었는데 갑자기 그거 울려서 그 스트리머도 서울살아가지고 여러분도 이거 왔냐고 묻고 나도 그거 받아가지고 시발뭐지 하고 존나 찾아봤는데 정확히는 미사일이 아니라 북한에서 위성발사였나 그거 한거였었음 ㅋㅋㅋㅋ 3 || [fmkorea](comment) 서울에서 실제 상황이 벌어지면 지하철 역이 최선이겠지만 근처가 아닐 시 지하주차장 3층 이하로 ㅌㅌ해야함. 핵폭탄 직격만 아니면 안전한편 1 || [fmkorea](comment) 서울서울서울 수자원이 풍부하고 기후가 예측가능하며 편차가 적고 안정적인 곳이 최적합한데, 이건 사람에게도 거주적합도가 높다는 의미라서 서로 경쟁 관계가 됩니다. 물가 오른다고 싫어하는 사람들이 나오는 이유에요 역내의 공간, 자원을 두고 경쟁하는데 개인에게 득 되는 게 없어서요 1 || [fmkorea](comment) 서울서울서울 전력을 안정적으로 공급할수 있느냐가 훨씬 중요해서 딱히 춥다고 최적의 장소는 아님. 본문 내용 처럼 물 공급도 안정적으로 제공돼야하고 6 || [fmkorea](comment) 서울서울서울 내 하얼삔에서 온 좡췐이야! 들어오라! || [fmkorea](comment) 서울서울서울 ㄹㅇㅋㅋ 1 || [fmkorea](comment) 어리고 광역시면 할 만함. 도 지방직은 솔직히 정말 비추. 3~4년 공부해서 붙었는데 그만 두거나 서울, 광역시로 이직생각하는 애들 너무 많더라 181 6"
20260130,2,두쫀쿠,1,23.934156,43.631771,6,0.548549,0.531119,26,"dc_chzzk,dc_lol,ruliweb,theqoo,x_trends,youtube","[theqoo](comment) 같은 B형이지만 두쫀쿠 궁금해하는 그 마음 이해한닼ㅋㅋㅋㅋ || [theqoo](comment) 나도 두쫀쿠고 뭐고 헌혈 가능한 건강한 몸이고 싶어라..ㅜㅠㅠㅠ || [x_trends](post) 알고 보니 집 앞에 있던 베이커리에서 두쫀쿠를 팔고 있었다는 충격적인 사실... 이제 인기가 좀 시들해진 건지, 일찍 끝나고 들러서인지 손에 넣을 수 있었습니다. 맛은 편의점에서 먹었던 니세모노보다는 맛있고 식감도 좋았지만... 역시 단 걸 좋아하지 않기에 두 번 사먹지는 않을 거 같습니다. || [youtube](comment) 아름님이 처음에 어 두쫀쿠다 하면서 백현님 밀치시는거 넘 웃겨요 ㅋㅋ || [youtube](comment) 0:02 이때 어 두쫀쿠다 하면서 백현님 밀치시는거 넘 웃겨욜ㅋㅋㅋ || [youtube](comment) 악 소소님 두쫀쿠 하나만 주세요.. 눈 벌써 예뿐데요🖤🖤🖤 || [youtube](comment) 두쫀쿠는 제 위장으로 들어갔답니다...! 🖤 아직은 붓기 때문에 걱정이지만 😢 응원 댓글 감사해요!!😊 || [youtube](comment) 두쫀쿠 노래 제법하네 || [youtube](comment) 두쫀쿠 먹으면서 보는데 아부지 말씀에 자꾸 뼈 맞아요.. 그래도 맛은 있으니..ㅋㅋ || [youtube](comment) ​ @핸들은술먹고잡아 근데 그냥 유행에 경제까지 나오는게..ㅋㅋㅋㅋㅋㅋ 요즘 두쫀쿠 얘기 나오면 경제얘기도 꼭 나옴 경제는 원래 안좋았고 저건 걍 유행이고.. 유행은 늘 존재했다,, 두쫀쿠 유행사라지면 사람들이 집사고 차를 사나 경제가 나아지나"
20260130,3,머스크,1,22.740792,29.983366,4,0.758447,0.28418,38,"dc_chzzk,fmkorea,x_trends,youtube","[dc_chzzk](comment) ㅇㅇ 요즘 누가 시기 질투를 함.. 그런 애들 머스크햄 보고 자살햇어 01.30 09:33:55 || [fmkorea](comment) 진짜 머스크 천재긴하다 ㅋㅋㅋㅋㅋ || [fmkorea](comment) TE5LA 테슬라랑 관련있는건 일론 머스크 한사람 뿐인데 왜 테슬라 주주가 좋아하냐 ㅋㅋ || [fmkorea](comment) 오브오리진 저거 개발과 상관없이 머스크는 리얼 천재 맞지 ㅋㅋ 328 12 || [fmkorea](comment) 고흐나 맨델처럼 위대한 미술가나 괴학자도 현생에 인정받지 못했듯 , 현대에도 그런분들이 존재 하겠지 머스크는 이미 인정도 많이받고 재산도 엄청나지만 .. ㅎ 정치 때문인지 언헹때문에 안좋은 시선들도 있으니 ㅎ 1 || [fmkorea](comment) 머스크는 외계인 맞음. 우리 과학기술이 너무 뒤떨어지니 최소한 외계인들과 만나서 대화할 수준의 기술력을 갖추게 하는 것이 목적임. 몸만 지구인일뿐 영혼은 외계인이 들어가 있음 2 || [fmkorea](comment) 뉴턴 아인슈타인 호날두 일론머스크 레츠고 1 || [fmkorea](comment) 와 진짜 소름돋는다. 신의 영역을 건드리는듯한 느낌이네. 머스크는 위인 아니냐ㄹㅇ;; || [fmkorea](comment) 머스크님 모근은 좀 안될까요? || [fmkorea](comment) 머스크가 병신이어도 인류에게 나쁜짓은 절대 한 적이 없음 4"
20260130,4,차은우,1,21.526696,31.329087,5,0.687115,0.3681,45,"dc_comic,fmkorea,theqoo,x_trends,youtube","[fmkorea](comment) 문맥 못읽는 애들은 또 100억, 1000억에 꽂혀서 돈타령하고 있네. 니네는 이재용 재산, 차은우 얼굴보고 부럽다고 느끼고 자괴감 느낌? 나랑 너무 먼 이야기니까 관심도 없다는 소리잖아. 반면에 단란한 가정은 지가 조금만 노력했으면 가졌을 것 같으니까 부러운거고 2 || [fmkorea](comment) 광고로 돈벌었으면, 광고해지에 따른 위약금, 위약벌도 차은우가 다 토해내야됨 사실 이 금액이 200억보다 훨씬 더 클듯 || [fmkorea](comment) 차은우는 빚쟁이 돼도 데려갈 갑부 여성들 한 트럭일듯 || [fmkorea](comment) 얼굴천재 차은우 이거 하나로 저렇게 많이 벌었구나 1 || [fmkorea](comment) 차은우 탈모임 1 || [fmkorea](comment) 다시야 차은우건은 형사재판 가는 사건인데 거기서 탈세 인정되면 추징액 300억까지 갈 수 있다고 함 || [theqoo](comment) 근데 예전에는 이런거 쉴드가 더 많았는데 살기 존나 팍팍한게 맞나부다 천플이 같은결인거보면 .. 작작해 진짜 차은우부터 개빡치게 하고있어 연초부터 지랄떨어 || [theqoo](comment) 이 언플로 차은우 그렇게 세기의 미남 만든건가 || [theqoo](comment) ☞73덬 차은우가 부동산도 준비하고 있었는데 탈세부터 걸린거야ㅋㅋㅋㅋ 돈미새가 하나만 하겠음? || [theqoo](comment) ☞103덬 커뮤에선 여론 뒤집힐일 없어 왜냐면 차은우가 그동안 온갖 장르의 팬덤에게 너무 오래 원한을 깊이 사왔거든 입막음식의 강압적인 성역화 찬양질은 반감도 같이 데려감"
20260130,5,여주,1,20.655732,38.250686,6,0.540009,0.541165,26,"dc_chzzk,fmkorea,ruliweb,theqoo,x_trends,youtube",[dc_chzzk](comment) 저정도면 여자들이 근연시 여주에 몰입할듯 ㅋㅋㅋㅋ 01.30 09:18:59 || [fmkorea](comment) 또 다른 썰)노마가 추천한 그 싸이코 목욕씬 배우의 딸은 공포영화 할로윈 시리즈의 여주로 캐스팅되어 모녀가 비명맛집이 되었다 5 || [fmkorea](comment) 이누나는 네멋 전경때가 ㄹㅇ 지렸는데 아는여자보다 그 여주가 원탑이었음 나한테는 양동근 고복수도 그렇고 || [theqoo](comment) 여주가 아쉽 || [theqoo](comment) ☞107덬 안 봐도 됨 브리저튼 귀족 가문의 아들 딸들 로맨스인데 다 보면 좋지만 따로 봐도 독립적인 이야기라 그냥 봐 혹시 앞부분 꼭 봐야겠다 싶으면 시즌 1을 봐 시즌1 첫째 딸 시즌2 첫째 아들(장남 가주) 시즌3 셋째 아들 시즌4 이번 편 둘째 아들 여주가 브리저튼 세계관 공인 최고 절세 미녀인데 한국계가 맡음 손… || [theqoo](comment) 여주 매력 쩐다 남여주 연기합 티키타카 넘 좋아 || [theqoo](comment) 너무 재밌고 여주 ㅈㄴ트위티임 개이쁨 || [theqoo](comment) 시즌1만봤는데 이번엔 볼까 좀 오글거려서 뒷시즌은 안보게 되던데 뭔가 로판같은거에 한국인이 여주라니까 궁금함ㅋㅋㅋ || [theqoo](comment) 헐 여주 한국인이야??? ㅁㅊ 시즌3는 보다 하차했는데 당장 달려 || [theqoo](comment) 헐 여주 한국계라고? 빨리 휴무일 왔으면 좋겠다 보고 싶어 ㅜㅜㅜ
20260130,6,인스타,1,19.675947,38.791622,7,0.507222,0.579739,83,"dc_comic,fmkorea,nate,ruliweb,theqoo,x_trends,youtube","[dc_comic](comment) 우리 집에 사촌 놀러왔을때 인스타인가? 로 죠죠 짤막하게 봤다 해서 바로 풀영상 보여주니까 정신없이 보더라 01.30 09:58:45 || [fmkorea](comment) 중학교때 나 집단구타 하고 강제 퇴학조치된 5명중 하나 우연히 인스타 발견했는데 결혼하고 애까지 낳아놓고 뒈졌더라 그날만큼 꿀잠잔 날이 없다ㅋㅋㅋㅋㅋ 10 || [fmkorea](comment) 며칠전 인스타피드 쿤디찬양글에 직접 나 그정도 아니다라고 댓글 달았었던데 ㄷㄷ || [fmkorea](comment) 저런걸로 떠서 우튭이나 인스타 하는거지뭐 별건가 || [fmkorea](comment) 1. 네이버 지도 무조건 거르고 카카오맵 보기. 네이보는 광고가 너무너무너무 많아서 변별력이 없음 2. 카카오맵 평 50개 이상 별점 4점 이상이면 맛집 확정 (광고 때릴것 같은 젊은 감성 말고 약간 낡은 느낌의 가게 기준) 3. 네이버 지도 리뷰는 그냥 참고용. 만약 카카오맵이든 네이버지도든 후기 작성 거절된 곳은 절대… || [fmkorea](comment) 맛대가리 없는데 월세싸고 다른 일 할거없어서 주인 인건비 희생하고 유지하는 노포도 많음 본가 근처에 20년넘은 멕시칸 치킨집 부모님은 절대안먹고 교촌만 먹는데 갑자기 인스타 바이럴타더라 ㅋㅋ 1 || [fmkorea](comment) 메뉴마다 다른느낌 평냉집은 앞에 제네시스많으면 맛있고 순대국밥집은 아재들 소주까고있으면 맛있고 파스타는 해방촌 인스타감성으로 해둔데가 맛있음,, || [theqoo](comment) 인스타를 털어야 함 || [theqoo](comment) 인스타 공구 터는거 찬성 || [theqoo](comment) 진짜 인스타 공구여 여행 공구도요"
20260130,7,순애,1,19.575944,24.948307,3,0.78466,0.253341,18,"fmkorea,ruliweb,youtube","[fmkorea](comment) 약간 좀 상업적으로 성공한 작가들중 예술병같은게 걸려서 독자 반발 무릅쓰고 일부러 졸작으로 가는 작가들이 착각하는게 있는디. 작품은 많은사람들에게 노출되는 순간 작가 혼자의 것이 절대 아님. 인기를 만들어주고 그 작품을 사랑하는 독자, 팬들이 납득은 가능하게 스토리 짜는게 팬서비스임. 마술선배는 예시가 좀 거시기한데 순애… || [fmkorea](comment) 아으 꼴알못들 순애물에서 NTR될때의 그 배덕감이 ㄹㅇ 기분 더러워서 꼴리는건데 진짜 기분 개 잡치고 속이 갑갑해지는 그 맛이 NTR의 참맛이다 || [fmkorea](comment) 본작에서 NTR결말내고 순애떡인지 냈으면 평가가 반대였을까? || [fmkorea](comment) 순애는 NTR을 위한 발사대라는 말이 존나 폭력적이던데 ㅋㅋㅋㅋㅋ || [fmkorea](comment) 순애 19금 망가였으면 '공식작가 떡인지 떳다!' 면서 오히려 인기터졌을텐데 도대체 왜 순애 연애물 만화엔딩 잘내고 NTR 망가를 쳐그려서 ㅋㅋ 144 || [fmkorea](comment) Ntr도 내고 순애도 내지 Ntr 조아 || [fmkorea](comment) ntr 빌드업 용으로 순애를 써먹을 순 있어도 당연히 미리 경고를 해야지 BL드리프트도 같은 논리로 옹호할 수 있음 처음부터 BL이면 맛없다고ㅇㅇ 뭐든 드리프트는 용납이안됨 || [fmkorea](comment) 디에서콱 ntr은 보는 놈들만 보는데 순애떡인지 내 봤자 그래서 얘가 누군데 아니었을까 || [fmkorea](comment) 한라감귤 소꿉친구 그 만화도 순애였다가 NTR향 첨가했더니 개같이 욕먹고 수습도 이상하게 해서 진짜 개까이고 바로 똥꿉친구 됐었는데ㅋㅋㅋㅋㅋ 이건 돈 받거나 플랫폼 연재도 아니고 그냥 블로그 업로드 만화였는데도 || [fmkorea](comment) 그니까 본편에서 순애엔딩 냈는데 공식으로 작가가 후편에서 ntr 엔딩으로 튼거야?ㅋㅋ"
20260130,8,코스피,1,19.376286,26.858594,4,0.721418,0.327743,15,"dc_lol,fmkorea,theqoo,x_trends","[fmkorea](comment) Ai 거품 ㅇㅈㄹ하고있네 떨어졌을때 한개라도 더 담을 생각을 해야지 ㅅㅂ 거품어쩌고 저쩌고 과도하게 가치부여 ㅇㅈㄹ하는데 하긴 그 시선으로는 코스피도 버블이라 하지 마이클버리년하고 연준 앰흑년이 똑같은 개좆소리 하고 떨어진지 2달인데 결국 그때 시점은 복귀했잖아 || [theqoo](comment) 그냥 존나 실망임 계속 이재명 뽑았고 민주당 뽑았는데 돌아오는건 여성무시 여성지우기...ㅋㅋ 남성 피해자 있는거 알겠음 근데 저기서 여성을 왜자꾸 지우려 드는지 정말 이해 하나도 안가고 실망스러울 뿐임 그냥 앞으로는 여성의제 가지고 오는 당 뽑을거고 설령 그게 소수정당이라도 여성 지우기 하지않는 인물 뽑을거임... 주식하… || [theqoo](comment) 그런데 돈은 드럽게 많이 벌었을 것 같은데 ? 짜증나는게 국힘의원들도 돈 엄청 벌어놓고 나와서는 개소리만 하고 집에가면 주식만 보고 히히거리고 있을 듯 정치적으로만 믿어주지 말고 코스피 관련 좀 전적으로 믿어줬음 나도 ㅠㅠ || [theqoo](comment) ☞495덬 그래서 더 문제고 짜치고 불쾌함 스스로가 국장에 대한 믿음이 있으면 코스피 5천에 대해서 오히려 더 믿고 독려해야하는 거 아니야?덬 댓덕분에 슈카는 결국 정치적으로 행동하는 사람임이 확실하게 드러남 || [x_trends](post) 네이버 장투중인 친구한테 전화가 왔다 ""야 네이버 사봐, 다음주 금요일 실적발표인데 30만원 이하 마지막 기회일걸"" - 코스피 상위 체급 중 유일하게 못감(현대차도 갔다) - 최근 스페이스X 투자 반영으로 급등한 미래에셋증권 - 미래에셋증권 지분 8%를 네이버가 보유 - 메타 실발 갭상이 AI"
20260130,9,야구,1,19.088998,28.140833,5,0.678338,0.378426,96,"fmkorea,ruliweb,theqoo,x_trends,youtube","[fmkorea](comment) 야구 ㅄ || [fmkorea](comment) 야구 : 인기 많은데 야구 안보는 사람은 국대고 뭐고 전혀 관심 없음 국축 : 인기 없는데 국축 안보는 사람도 국대에는 관심 가짐 야구 팬들 입장에서는 국축이나 뛰던 김남일이 인기 종목인 야구의 국대 에이스였던 윤석민을 듣보잡 취급한거 이게 ㄹㅇ 갖고있던 열등감을 폭발 시키는 계기가 아니었을까 싶다. 우물안의 존나 잘나가… || [fmkorea](comment) 병신새끼들 ㅋㅋㅋㅋ 웃자고 하는 WWE에 지들이 뭐라도 되는냥 UFC벌이며 축구만 까는 병신들 에휴. 그렇게 야구가 좋으면 병신들아 엠팍으로 꺼지시던가요들? 여긴 축구게임이름을 쓰고있는 근본이 축구 커뮤니티인곳인데 왜 여기서 난리들이야? ㅋㅋㅋ 888 349 || [fmkorea](comment) 여기서 더 웃긴건 야구 기자라는 분이 김남일 저격 기사 쓴거 ㅋㅋㅋ 방송 풀영상으로 보면 다같이 서로 디스하고 종목 디스하고 탱킹해서 재미 뽑는거 뻔히 보이는데 계속 기사 쓰면서 사람 하나 타겟잡고 뭐하는거임? 남을 비웃어서 얻는 재미는 저급하다. 그리고 그 저급한 재미 뒤에는 씁쓸한 뒷맛만 남는다. 김남일이 보여준 것은… || [fmkorea](comment) 야구 찐팬들은 찐농도 존나 심함 학창시절만 생각해보면 답나옴 || [fmkorea](comment) 그냥 미국이 시발 사기네 ㅋㅋㅋㅋ 미식축구, 농구, 야구 다 미국 때문이자너 ㅋㅋㅋ 복싱도 저 돈 받는 애들은 다 라스베가스에서 경기 하는 애들이고 ㅋㅋ 29 || [fmkorea](comment) 숙하이 걍 플레이하는 인원이 적어서 그런거 정규 로스터가 야구 , 축구 이런 스포츠 절반 수준임 거기에 야구 축구랑 다르게 주전 3-4명이 한경기 책임지고 다뛰는 수준이라 얘네가 다 몰아받음 69 || [theqoo](comment) 진짜 야구팬들은 맨날 화내면서 1년에 144경기를 보니까 정신에 문제가 있는거같음 솔직히 나도 스포츠보지만 내가보는 스포츠 선수를 무시하든말든 신경 안쓰이거든 근데 왜그렇게 자아의탁을 하는지 모르겠어 저런예능 싫으면 안보면되잖아 굳이굳이 그부분만 캡쳐해서 조리돌림하느라 하루종일 보고있더만 야구가 좋은게 아니라 그냥 욕하는… || [theqoo](comment) 윗댓글들 말대로 야구가 미국 일본 제외하고 전세계적으로 비인기 스포츠라 별것도 아닌거에 많이 긁히는거 같음... 김남일이 했던말을 그대로 누군가 축구에 했으면 걍 헛소리인거 아니까 그정도 반응 절대 안나오지ㅋㅋ || [theqoo](comment) 207. 무명의 더쿠 = 160덬 13:37 ☞183덬 ㄹㅇ 야빠들 내로남불 진짜 개역겨움 작년에 핫플에 가만히 있던 K리그 머리채잡혀서 끌려나온게 몇번이야 시범경기때 야구팬 학생이 포즈난했다고 갑자기 상관도없는 축구 끌려나와서 야만스럽고어쩌고 축구응원문화 어쩌고1000플넘게 개패더니 알고보니 그 포즈난 한 사람 찐 야구…"
20260130,10,트럼프,1,18.907882,33.507178,5,0.564293,0.512596,48,"fmkorea,ruliweb,theqoo,x_trends,youtube","[fmkorea](comment) 미국은 달러원 환율을 내리라는 입장임 애초에 관세매길때 트럼프가 댄 핑계가 대미 무역에서 일빙적으로 이득을 얻어가는 국가들이 너무 많다는거였고 관세를 매겨서 그 불공정을 해소하겠다는거였는데 애써 한국에 관세 15% 매겨놨더니 환율도 그만큼 올라서 헷지가 돼버리는 상황이 싫은거 그래서 난 지금 우리나라 환율을 굳이 억지로 … || [fmkorea](comment) 하수) 미국이 중국 좋은일만 하는구나 고수) 트럼프가 영국개혁당으로 정권을 바꾸려고 하겠구나 || [fmkorea](comment) 스타머가 친중이라고? ㅋㅋㅋㅋ 트럼프가 좆지랄만 안했으면 안갔을듯 7 6 || [fmkorea](comment) SMINT 트럼프가 ㅈㄹ해도 시진핑보단 나을텐데? 4 26 || [fmkorea](comment) 트럼프 개 병신 || [fmkorea](comment) 미국이 중국 포위했던 동맹전선을 트럼프가 다 무너뜨려버리는 구나 ㅋㅋ || [fmkorea](comment) 트럼프는 러시아와 중국과 예전처럼 무지성 적대관계를 원하는게 아님.. 내 것과 네 것을 나눠 세계를 양분하는 게 목표임. 내것이라 생각하는 곳에 중국이 자꾸 들어오니 화를 내는 것뿐이고.. 1 || [fmkorea](comment) 트럼프 너무 설치긴했지 고작 4년짜리가 정작 틴틴이 핑핑이 앞에선 아무것도 못하고 || [fmkorea](comment) Wrhtlvek 트럼프는 역사에 이름을 남기고 싶어함. 1. 그린란드 먹고 캐나다 접수해서 북국해 절반 차지. 2. 남미 베네스엘라먹고 지역패권 확보. 지금 노골적으로 원하는게 이정도인데.. 이게 이루어지면 미국은 향후 100년가 자원 대장국가 될듯.. 그럼 미국의 후손들은 트럼프를 환호할꺼라 생각함. || [fmkorea](comment) 바이든 외교기조 유지했으면 얻을거 다 얻는거 아니었나.,, 왜 저지랄이래 트럼프는ㅋㅋㅋ"
